id,name,latitude,longitude,source
0,nefer,29.89502799992025,31.20246145015321,amazon_geoglyphs
1,niuse,29.89567099812161,31.20355533136928,amazon_geoglyphs
2,niuso,29.90407154553836,31.19381076147237,amazon_geoglyphs
3,sahur,29.8976473884554,31.20338683170095,amazon_geoglyphs
4,khafr,29.975981,31.130754,amazon_geoglyphs
5,khugp,29.979195,31.134207,amazon_geoglyphs
6,menka,29.97241858431012,31.12815340652125,amazon_geoglyphs
7,sphip,29.975286,31.137771,amazon_geoglyphs
8,amenh,25.71573622762689,32.65738593147474,amazon_geoglyphs
9,avsp1,25.712773,32.655868,amazon_geoglyphs
10,avsp2,25.71352,32.654285,amazon_geoglyphs
11,avsph,25.715541,32.656938,amazon_geoglyphs
12,colme,25.720472,32.610515,amazon_geoglyphs
13,firsp,25.71900025464341,32.65666860247664,amazon_geoglyphs
14,hatso,25.718314,32.658327,amazon_geoglyphs
15,hatte,25.73831868699752,32.60642156314282,amazon_geoglyphs
16,ipeto,25.71826217711443,32.65815848962006,amazon_geoglyphs
17,kareg,25.717164,32.660908,amazon_geoglyphs
18,kargc,25.71884700063334,32.65720600110691,amazon_geoglyphs
19,karhh,25.718538,32.657887,amazon_geoglyphs
20,karn2,25.717538,32.660222,amazon_geoglyphs
21,karnc,25.71751025379366,32.65836385120813,amazon_geoglyphs
22,karne,25.71850195632812,32.66161076778641,amazon_geoglyphs
23,karnn,25.72115140875585,32.65726733149046,amazon_geoglyphs
24,karns,25.71446592498605,32.65928414694624,amazon_geoglyphs
25,karnw,25.7163288604791,32.65448367325119,amazon_geoglyphs
26,karrd,25.71926697046273,32.65608578053908,amazon_geoglyphs
27,luxax,25.700008,32.63941,amazon_geoglyphs
28,luxax axis,25.70000588257843,32.63940681041858,amazon_geoglyphs
29,luxcn,25.699852,32.63923,amazon_geoglyphs
30,luxcs,25.699422,32.638888,amazon_geoglyphs
31,luxhh,25.699001,32.638563,amazon_geoglyphs
32,luxis,25.698511,32.638199,amazon_geoglyphs
33,luxob,25.700363,32.639769,amazon_geoglyphs
34,luxor,25.699185,32.638732,amazon_geoglyphs
35,luxos,25.69888,32.638463,amazon_geoglyphs
36,luxpy,25.700238,32.639719,amazon_geoglyphs
37,mentp,25.73733713639454,32.60618442328774,amazon_geoglyphs
38,mentu,25.73759675331584,32.60566325037513,amazon_geoglyphs
39,mutax,25.7117,32.655454,amazon_geoglyphs
40,mutcy,25.71208199969601,32.6555640020503,amazon_geoglyphs
41,mutsc,25.711902,32.655469,amazon_geoglyphs
42,pylon,25.718466,32.65807,amazon_geoglyphs
43,pylon1,25.719069,32.656814,amazon_geoglyphs
44,pylon3,25.718294,32.658453,amazon_geoglyphs
